191TRE0045;900259;1;10-6-2017;187866;187866;0;1;1;187866;187866;;DENDA GGL DBT DILUAR NOR MEI'17
191TRE0046;900259;1;10-7-2017;62134;62134;0;1;1;62134;62134;;DENDA GGL DBT DILUAR NOR JUNI'17
191TRE0047;900259;1;10-7-2017;187866;187866;0;1;1;187866;187866;;DENDA GGL DBT DILUAR NOR JUNI'17
191TRE0048;900259;1;10-8-2017;187866;187866;0;1;1;187866;187866;;DENDA GGL DBT DILUAR NOR JULI'17
191TRE0049;900259;1;10-8-2017;62134;62134;0;1;1;62134;62134;;DENDA GGL DBT DILUAR NOR JULI'17
191TRE0050;900259;1;10-9-2017;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR AGTS'17
191TRE0051;900259;1;10-9-2017;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR AGTS'17
191TRE0052;900259;1;10-10-2017;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR SEPT'17
191TRE0053;900259;1;10-10-2017;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR SEPT'17
191TRE0054;900259;1;10-11-2017;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR OKT'17
191TRE0055;900259;1;10-11-2017;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR OKT'17
191TRE0056;900259;1;10-12-2017;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR NOP'17
191TRE0057;900259;1;10-12-2017;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR NOP'17
191TRE0058;900259;1;10-1-2018;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR DES'17
191TRE0059;900259;1;10-1-2018;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR DES'17
191TRE0060;900259;1;10-2-2018;187866;187866;0;1;1;187866;187866;;DEND GGL DBT PIJ DILUAR NOR DES'17
191TRE0061;900259;1;10-2-2018;62134;62134;0;1;1;62134;62134;;DEND GGL DBT PIJ DILUAR NOR DES'17
