182TRE0054;973418;010186;21-4-2018;1100000;110000;13200;10;10;123200;1100000;JOMBANG;MM3 PRIMA BOGA
182TRE0055;912405;010336;21-4-2018;385000;38500;4620;10;10;43120;385000;VETERAN;WOK PRIMA BOGA
182TRE0056;899725;010337;21-4-2018;1100000;110000;13200;10;10;123200;1100000;BCA KAPASARI;MM3 PRIMA BOGA
182TRE0057;975355;001332;21-4-2018;1595000;159500;19140;10;10;178640;1595000;KRTJY IDH;BELLY POT PRIMA BOGA
182TRE0058;910267;010340;21-4-2018;2035000;203500;24420;10;10;227920;2035000;RAJAWALI;CASEROL, PRESTO PRIMA BOGA
182TRE0059;912038;010341;21-4-2018;385000;38500;4620;10;10;43120;385000;NGINDEN SEMOLO;SM7 PLS PRIMA BOGA
182TRE0060;911589;010326;21-4-2018;385000;38500;4620;10;10;43120;385000;SIDOARJO;WOK PRIMA BOGA
182TRE0061;975189;001334;21-4-2018;440000;44000;5280;10;10;49280;440000;GEDANGAN;CASEROL PRIMA BOGA
182TRE0062;975365;010192;21-4-2018;440000;44000;5280;10;10;49280;440000;PS ATUM;CASEROL PRIMA BOGA
182TRE0063;900258;010330;21-4-2018;1100000;110000;13200;10;10;123200;1100000;SIDOARJO;MM3 PRIMA BOGA
182TRE0064;975329;001866;21-4-2018;3575000;357500;42900;10;10;400400;3575000;;RO,RS,RK,MM3 PRIMA BOGA
182TRE0065;920410;010331;21-4-2018;1595000;159500;19140;10;10;178640;1595000;ADM KRDT KW3 DRM;BELLY POT PRIMA BOGA
182TRE0066;901689;001862;21-4-2018;1595000;159500;19140;10;10;178640;1595000;;BELLY POT PRIMA BOGA
182TRE0067;001331;001331;21-4-2018;385000;38500;4620;10;10;43120;385000;BCA KENJERAN;WOK PRIMA BOGA
182TRE0068;897862;001864;21-4-2018;1595000;159500;19140;10;10;178640;1595000;BCA GRESIK;BELLY POT PRIMA BOGA
182TRE0069;975911;;21-4-2018;435000;435000;5220;1;1;440220;435000;;BARANG UMKM NAMA, KEY, NO RMH, TPT BUMBU, BINGKAI FOTO
182TRE0070;912784;001910;3-5-2018;7400000;616700;88800;12;12;705500;7400000;KABAG OPS KTR K MANUKAN;OPPO A8+ BLACK
