170TRE0045;56023;30-04-2018;71600;71600;0;1;1;71600;71600;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0046;56023;17-05-2018;57700;57700;0;1;1;57700;57700;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0047;56142;30-04-2018;13400;13400;0;1;1;13400;13400;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0048;56142;17-05-2018;10200;10200;0;1;1;10200;10200;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0049;56275;30-04-2018;8100;8100;0;1;1;8100;8100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0050;57163;30-04-2018;31500;31500;0;1;1;31500;31500;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0051;57163;17-05-2018;22500;22500;0;1;1;22500;22500;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0052;58835;30-04-2018;8000;8000;0;1;1;8000;8000;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0053;58835;17-05-2018;27900;27900;0;1;1;27900;27900;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0054;59165;30-04-2018;5100;5100;0;1;1;5100;5100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0055;59165;17-05-2018;40100;40100;0;1;1;40100;40100;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0056;60204;30-04-2018;87100;87100;0;1;1;87100;87100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0057;61621;30-04-2018;85300;85300;0;1;1;85300;85300;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0058;61621;17-05-2018;61800;61800;0;1;1;61800;61800;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0059;62277;30-04-2018;74300;74300;0;1;1;74300;74300;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0060;63483;30-04-2018;54900;54900;0;1;1;54900;54900;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0061;63483;17-05-2018;66250;66250;0;1;1;66250;66250;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0062;90512;30-04-2018;18100;18100;0;1;1;18100;18100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0063;90512;17-05-2018;9900;9900;0;1;1;9900;9900;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0064;101011;30-04-2018;54800;54800;0;1;1;54800;54800;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0065;101011;17-05-2018;149350;149350;0;1;1;149350;149350;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0066;110804;30-04-2018;48850;48850;0;1;1;48850;48850;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0067;863912;30-04-2018;315400;315400;0;1;1;315400;315400;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0068;863912;17-05-2018;333450;333450;0;1;1;333450;333450;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0069;863912;17-05-2018;80000;80000;0;1;1;80000;80000;;BELANJA OMI NUGET TGL 2 s.d 17 MEI 2018
170TRE0070;885217;30-04-2018;8500;8500;0;1;1;8500;8500;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0071;885217;17-05-2018;87400;87400;0;1;1;87400;87400;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0072;890026;30-04-2018;87400;87400;0;1;1;87400;87400;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0073;890026;17-05-2018;40800;40800;0;1;1;40800;40800;;BELANJA OMI TGL 2 s.d 17 MEI 2018
170TRE0074;896468;30-04-2018;325000;325000;0;1;1;325000;325000;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0075;896480;30-04-2018;41100;41100;0;1;1;41100;41100;;BELANJA OMI TGL 18 s.d 30 APRL 2018
170TRE0076;896480;30-04-2018;100000;100000;0;1;1;100000;100000;;BELANJA OMI NUGET TGL 18 s.d 30 APRL 2018
