8021803045;920216;001556;2-11-2017;13000000;362000;156000;36;32;11552000;PRAMUKARYA GLX;YAMAHA NEW MIO M3 125
8021803046;930926;010328;25-8-2017;1584000;158400;19008;10;4;633600;BCA TIDAR;KC 3 & GRILL PAN
8021803047;931527;001402;25-8-2017;308000;30800;3696;10;4;123200;BCA MAKRO SIDOARJO;1 GRILL PAN
8021803048;932120;009667;17-7-2017;3599000;359900;43188;10;2;719800;BO PDK CHANDRA;HP OPPO F 1 S
8021803049;940715;002042;29-12-2017;1200000;240000;14400;5;3;720000;ADM KREDIT KW3 DRMO;MINICON
8021803050;960196;010049;22-1-2018;5997000;499750;71964;12;10;4997500;BCA INDRAPURA;3 HP OPPO A37 (SUP INDRA)
8021803051;961551;001971;26-1-2018;1799000;150412;21588;12;11;1648588;DRIVER BCA DIPONEGORO;HP OPPO A37 (GEMILANG CELL)
8021803052;962995;001355;6-9-2017;1230000;123000;14760;10;4;492000;CS BCA PLASA MARINA;HOT PILW+PILW MESSG+DERMWN
8021803053;963396;001687;2-11-2017;5199000;433250;62388;12;9;3899250;KABAG KERTOPATEN;OPPO F3 PLUS GOLD
8021803054;964050;002508;9-3-2018;330000;66000;3960;5;5;330000;STAF CSO BCA MANYAR;KALUNG & GELANG KESEHATAN
8021803055;970270;001351;11-8-2017;705000;70500;8460;10;5;352500;KABAG TELLER PRAPEN;BTL HOT PILW+DERMAWAN
8021803056;970270;001333;11-8-2017;880000;88000;10560;10;5;440000;KBG TELLER PRAPEN;PANCI MM2 PRIMA BOGA
8021803057;970654;001685;2-11-2017;800000;33350;9600;24;20;666600;CSO BCA DARMO;DP HONDA SCOPY 
8021803058;970654;001685;4-12-2017;17905000;746140;214860;24;22;16412720;CSO BCA DARMO;HONDA SCOPY BROWN
8021803059;970664;001481;6-9-2017;27850000;580800;334200;48;42;24365200;SENTRL LAY KW 3 DRM;AEROX YAMAHA
8021803060;971238;;24-11-2017;22100000;614800;265200;36;33;20255600;SOY KW 3 BCA DARMO;VARIO 150 HONDA
8021803061;971755;001287;14-8-2017;3250000;325000;0;10;3;975000;KBG TELLER  NGAGEL;HP HUAWEY
8021803062;972131;001401;25-8-2017;308000;30800;3696;10;4;123200;PIK KW 3 DARMO;1 GRILL PAN
8021803063;973168;001335;11-8-2017;1540000;154000;18480;10;4;616000;BCA PRAPEN;PANCI MM2 PRIMA BOGA
8021803064;973171;010175;25-7-2017;25000000;695500;300000;36;29;20131500;PENGWSN INTERN BCA GALAXY;YMH AEROX(RODA SAKTI)
8021803065;973171;001968;9-3-2018;800000;22858;9600;35;35;800000;STAF APK BCA GALAXY;DP HONDA SCOPY (EKA KARUNIA)
8021803066;973200;;25-4-2017;3899000;325712;46788;12;2;641880;;HP OPPO F 1 S
8021803067;973261;010133;10-8-2017;18935000;395280;227220;48;41;16168040;RO BCA VETERAN;HONDA VARIO 125 (GEBYAR KMS)
8021803068;973710;001880;20-12-2017;23250000;485000;279000;48;46;22280000;PIC JOMBANG;HONDA VARIO 150 (EKA KARUNIA)
8021803069;973873;002406;15-2-2018;660000;132000;7920;5;4;528000;BCA DARMO;KALUNG+GELANG KES (SUP RIADI)
8021803070;974430;001666;9-3-2018;800000;16667;9600;48;48;800000;STAF BCA NGAGEL JY SEL;DP HONDA SCOPY (EKA KARUNIA)
8021803071;975213;010200;9-8-2017;1276000;127600;15312;10;3;382800;GENTENGKALI;KC3 (PRIMA BOGA)
8021803072;975329;010197;9-8-2017;1980000;198000;23760;10;3;594000;PIC GRESIK;RO, RS, RK (PRIMA BOGA)
8021803073;975350;010196;9-8-2017;1276000;127600;15312;10;3;382800;PEND OPS;KC3 (PRIMA BOGA)
8021803074;975375;010189;9-8-2017;1540000;154000;18480;10;3;462000;GRESIK;MM3 & RO (PRIMA BOGA)
8021803075;977398;009813;17-5-2017;165000;13750;1980;12;2;27500;SOY KW 3 BCA DARMO;HOT PILLOW CV.YASIIRA RIZKY
8021803076;977398;009813;17-5-2017;165000;13750;1980;12;2;27500;SOY KW 3 BCA DARMO;HOT PILLOW CV.YASIIRA RIZKY
8021803077;980094;001868;29-11-2017;1628000;162800;19536;10;7;1139600;BO BCA TANDES;3 WOK JMA + 1 POT 28cm
